Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
1280,-20,530,0,0
1260,-20,525,0,0
1240,-20,520,0,0
1220,-20,515,0,0
1200,-20,510,0,0
1180,-20,505,0,0
1160,-20,500,0,0
1140,-20,495,0,0
1120,-20,490,0,0
1106,-20,485,0,0
1092,-20,480,0,0
1078,-20,475,0,0
1064,-20,470,0,0
1050,-20,465,0,0
1036,-20,460,0,0
1022,-20,455,0,0
1008,-20,450,0,0
982,-20,445,0,0
956,-20,440,0,0
930,-20,435,0,0
904,-20,430,0,0
878,-20,425,0,0
852,-20,420,0,0
826,-20,415,0,0
800,-20,410,0,0
780,-20,405,0,0
760,-20,400,0,0
740,-20,395,0,0
720,-20,390,0,0
706,-20,385,0,1
692,-20,380,0,1
678,-20,375,0,1
664,-20,370,0,1
650,-20,365,0,1
636,-20,360,0,1
622,-20,355,0,1
608,-20,350,0,1
582,-20,345,0,1
556,-20,340,0,1
530,-20,335,0,1
504,-20,312,1,1
478,-20,292,1,1
452,-20,275,1,1
426,-20,261,1,1
400,-20,250,1,0
380,-20,242,1,0
360,-20,237,1,0
340,-20,235,1,0
320,-20,236,1,0
300,-20,240,1,0
280,-20,247,1,0
260,-20,257,1,0
240,-20,270,1,0
220,-20,285,0,0
200,-20,280,0,0
180,-20,275,0,0
160,-20,270,0,0
146,-20,265,0,1
132,-20,260,0,1
118,-20,255,0,1
104,-20,250,0,1
90,-20,227,1,1
76,-20,207,1,1
62,-20,190,1,1
48,-20,176,1,1
22,-20,165,1,1
4,-20,157,1,1
30,-20,152,1,1
56,-20,150,1,1
1298,-20,151,0,1
1273,-19,155,0,1
1248,-19,162,0,1
1223,-19,172,0,0
1204,-19,185,0,0
1185,-19,180,0,0
1166,-19,175,0,0
1153,-19,170,0,1
1140,-19,165,0,1
1127,-19,160,0,1
1114,-19,155,0,1
1101,-19,150,0,1
1088,-19,145,0,1
1075,-19,140,0,1
1062,-19,135,0,1
1037,-19,130,0,1
1012,-19,125,0,1
987,-19,120,0,1
962,-19,115,0,1
937,-19,110,0,1
912,-19,105,0,1
887,-19,100,0,1
862,-19,95,0,0
849,-19,90,0,1
836,-19,85,0,1
823,-19,80,0,1
810,-19,75,0,1
797,-19,70,0,1
784,-19,65,0,1
771,-19,60,0,1
758,-19,55,0,1
733,-19,50,0,1
708,-19,45,0,1
683,-19,40,0,1
658,-19,35,0,1
633,-19,12,1,1
